file_id,label,activity_class,teff,logg,star_mass_msun,star_radius_rsun,rotation_period_days,inclination_deg,sigma_ppm,tau_days,spot_enable,spot_count,spot_radius_deg,spot_contrast,spot_lifetime_days,spot_latitude_deg,spot_longitude_deg,spot_domega,flare_enable,flare_mean_period_days,flare_amplitude_ppm,planet_present,planet_period_days,planet_radius_rjup,planet_radius_earth,planet_sma_au,transit_depth_ppm,seed
0000001366,3,strong,5223.7,4.396,0.9418179887533715,1.0147494813671305,18.91,45.43,146.91,2.732,1,5,2.148,0.571,20.4,12.53,223.61,0.098,1,3.073,172.2,1,11.3401,0.17801,1.95811,0.09683,310.50672204930123,53075395
0000000988,2,mild,6273.4,4.372,1.0847306686388336,1.1231303466557399,22.68,22.67,24.23,1.207,1,3,1.077,0.759,8.4,-3.17,205.16,0.209,1,27.0,23.4,1,42.079,0.2349,2.5839,0.24327,441.3728264611979,866491713
0000000421,1,strong,6040.7,4.341,1.0730165145498611,1.1581241339967083,13.68,74.72,69.83,1.111,1,5,2.058,0.541,11.0,-11.58,167.36,0.107,1,4.182,100.2,0,,,,,,1226683627
0000001050,2,mild,5755.2,4.369,0.9219039268021187,1.0388468676517166,28.27,13.74,16.36,1.92,1,2,1.265,0.669,15.6,-1.37,150.96,0.138,1,48.15,93.4,1,43.5534,0.09863,1.08493,0.23579,90.95254988556982,1706759204
0000001369,3,strong,5690.6,4.393,0.9839889434736719,1.0428979250597366,21.34,74.11,119.02,1.448,1,4,2.487,0.469,20.8,-5.04,246.94,0.129,1,3.713,278.8,1,34.1286,0.3413,3.7542999999999997,0.20481,1080.6594409680008,1453736893
0000001293,3,strong,5631.5,4.357,0.9371323271177827,1.0615284038467212,8.58,79.1,42.46,3.574,1,2,2.51,0.647,6.4,8.21,60.25,0.113,1,2.609,695.9,1,6.1583,0.25207,2.7727700000000004,0.06434,568.9563729286233,2001686838
0000000678,1,strong,5224.0,4.36,1.0800450070032448,1.1376947088489036,14.9,57.48,90.87,1.299,1,3,2.313,0.513,17.1,-6.24,121.74,0.105,1,4.835,420.5,0,,,,,,2102140451
0000000839,2,mild,6041.3,4.253,1.1573584239904615,1.3288941080439474,28.24,65.88,10.14,2.272,1,3,1.13,0.711,17.1,-6.31,168.86,0.184,1,29.54,19.6,1,32.2963,0.16129,1.77419,0.20838,148.6394241812778,155356244
0000000913,2,mild,5378.3,4.348,1.016788574922794,1.1190789419652072,27.56,42.22,22.03,2.41,1,3,1.363,0.665,9.7,10.08,105.61,0.175,1,48.77,49.4,1,19.5939,0.0994,1.0934,0.14303,79.60699010849383,1080084125
0000001322,3,strong,6360.2,4.275,1.129244454176928,1.2811543005354533,10.23,31.48,27.12,3.165,1,4,2.205,0.511,9.4,16.39,137.78,0.101,1,1.181,253.8,1,7.195,0.14335,1.57685,0.07596,126.32589947995977,1101053254
0000000216,0,mild,6095.1,4.439,1.133930115812517,1.0608222116129074,20.74,78.7,6.57,1.777,1,1,0.84,0.76,7.7,-18.54,159.54,0.129,1,47.05,57.4,0,,,,,,1899954943
0000000509,1,strong,6338.9,4.421,1.1690725780794338,1.104511097191802,21.52,48.36,127.99,1.01,1,4,1.905,0.5,24.6,-6.9,92.2,0.126,1,1.499,181.3,0,,,,,,765125699
0000000992,2,mild,5559.8,4.504,0.9019898648510197,0.8814894778039915,22.89,89.76,11.9,1.021,1,1,0.89,0.775,14.4,-3.79,86.55,0.239,1,20.74,25.9,1,16.4431,0.11185,1.23035,0.12227,162.45668757615917,1808621899
0000000356,0,mild,5749.4,4.486,0.9781318664291857,0.9347227558266833,33.66,75.3,25.67,1.666,1,2,1.62,0.684,24.1,-14.09,225.12,0.183,1,43.8,21.4,0,,,,,,1168140903
0000001338,3,strong,5606.4,4.287,1.0636451912786833,1.2230209229582893,16.87,87.53,145.01,4.665,1,2,2.605,0.451,19.5,-0.24,258.9,0.109,1,1.114,263.4,1,4.7032,0.10234,1.12574,0.05608,70.65175166618023,714365801
0000000937,2,mild,5590.2,4.254,1.1714154088972284,1.3361428898458128,23.53,27.34,8.8,0.953,1,3,1.763,0.671,14.4,-5.47,160.34,0.234,1,25.61,40.6,1,7.318,0.21073,2.31803,0.07776,250.98444503275078,1689291838
0000000921,2,mild,5377.4,4.497,0.9031612802598041,0.8873739834322333,27.17,84.51,15.98,1.797,1,2,1.125,0.715,15.0,15.31,164.7,0.161,1,76.49,16.2,1,10.9085,0.15129,1.66419,0.09305,293.29654333727314,1539034081
0000001045,2,mild,5228.1,4.245,1.1854723938039953,1.3606717596785471,32.54,58.9,12.9,1.083,1,3,1.41,0.752,22.0,-5.9,201.42,0.192,1,31.2,26.9,1,5.7379,0.27261,2.99871,0.06639,405.0202200175535,2054624103
0000001265,3,strong,5929.5,4.216,1.1690725780794338,1.3901854366527164,8.21,37.31,61.69,4.76,1,3,2.597,0.519,8.8,13.75,167.34,0.115,1,3.587,105.0,1,37.2692,0.14459,1.59049,0.23003,109.15180664663957,917260458
0000001477,3,strong,5985.1,4.507,1.0613023604607905,0.9692971044349775,15.79,83.49,104.98,2.311,1,2,2.21,0.579,19.2,-8.88,163.17,0.085,1,1.445,145.1,1,6.512,0.18634,2.04974,0.06961,372.90502334816546,387070641
0000000685,1,strong,6072.3,4.262,1.0449025447363278,1.2511795687761116,15.22,38.84,131.42,2.052,1,4,2.44,0.544,15.9,12.12,200.53,0.098,1,1.254,127.3,0,,,,,,585165803
0000000571,1,strong,6016.7,4.348,1.1058161459989835,1.1662762178261077,14.23,89.92,123.93,3.95,1,2,2.67,0.509,15.1,-19.66,164.26,0.13,1,1.971,286.2,0,,,,,,1852196467
0000000211,0,mild,5966.3,4.515,1.0613023604607905,0.9692971044349775,21.64,46.6,18.26,2.199,1,1,0.79,0.668,7.9,-6.96,97.66,0.178,1,49.14,15.7,0,,,,,,691122879
0000001072,2,mild,5371.4,4.509,0.9031612802598041,0.880556140763373,28.58,73.05,21.65,2.264,1,2,0.885,0.744,14.2,0.45,197.85,0.168,1,65.18,31.4,1,15.6622,0.10278,1.13058,0.11842,137.46844139734606,587932703
0000000352,0,mild,6131.7,4.25,1.129244454176928,1.3164695906611792,28.27,24.77,12.04,2.483,1,2,1.585,0.723,10.9,-4.62,198.09,0.231,1,41.62,19.4,0,,,,,,433562475
0000001419,3,strong,5376.1,4.39,0.9511893120245495,1.0316330073371842,13.22,27.28,122.76,4.672,1,3,1.943,0.55,11.7,-18.8,208.33,0.095,1,1.285,134.8,1,11.1216,0.17272,1.89992,0.0959,282.83599747386194,1947772020
0000000530,1,strong,6067.5,4.548,1.030845559829561,0.9412082390886131,14.13,84.42,53.78,2.127,1,4,1.992,0.544,14.1,2.55,168.52,0.101,1,4.196,113.4,0,,,,,,1555011471
0000000407,1,strong,5632.8,4.439,0.9582178044779328,0.9780774049896749,19.03,32.12,139.88,2.182,1,3,2.24,0.507,16.8,1.58,188.68,0.111,1,5.839,111.8,0,,,,,,313823394
0000001413,3,strong,6058.9,4.549,1.030845559829561,0.9412082390886131,13.08,76.98,148.66,4.597,1,4,2.15,0.565,15.3,-8.8,215.55,0.101,1,3.294,133.4,1,14.7053,0.14927,1.6419700000000002,0.11866,253.78941657704496,85057505
0000001180,3,strong,5414.1,4.323,1.0613023604607905,1.1721330243014987,16.33,43.29,28.27,1.808,1,3,1.91,0.474,17.7,7.3,154.56,0.09,1,1.878,105.9,1,3.6338,0.0999,1.0989,0.04718,73.29545653906335,1745269164
0000000288,0,mild,5304.0,4.494,0.9043326956686603,0.9077183063844485,28.41,43.96,14.28,2.437,1,2,1.765,0.758,19.1,19.12,60.5,0.197,1,39.98,26.9,0,,,,,,1625434682
0000001384,3,strong,5890.1,4.202,1.194843717075173,1.435304704547194,10.19,89.32,61.16,1.164,1,4,2.125,0.535,12.5,-13.68,212.45,0.099,1,3.502,119.4,1,15.0452,0.19949,2.19439,0.12656,194.91888845892265,2061309790
0000001185,3,strong,5428.3,4.49,0.9043326956686603,0.8943949419346711,12.76,68.94,53.16,3.729,1,5,2.564,0.512,12.9,-4.31,152.72,0.11,1,3.264,154.3,1,21.5847,0.31339,3.44729,0.14672,1238.8293385892484,7908889
0000001048,2,mild,6172.6,4.453,1.0847306686388336,1.022870703185121,28.81,76.69,8.75,1.671,1,1,0.8,0.713,5.8,-13.91,124.38,0.15,1,65.74,77.0,1,32.4995,0.11307,1.24377,0.20479,123.29719224623295,653958145
0000001005,2,mild,6097.5,4.411,1.140958608265676,1.0986397875163436,25.92,45.35,39.01,2.26,1,3,1.11,0.699,14.1,-6.96,235.55,0.192,1,23.38,23.8,1,4.6239,0.25356,2.78916,0.05676,537.4656611465153,1233406157
0000000462,1,strong,5931.0,4.45,1.0495882063719166,1.0111474364766129,15.85,21.06,34.57,4.388,1,5,2.392,0.606,18.5,2.23,171.3,0.111,1,1.037,437.3,0,,,,,,858392206
0000000178,0,mild,5813.6,4.366,0.9441608195711662,1.0567044278153517,32.98,56.09,11.17,1.292,1,1,1.28,0.718,19.7,-11.29,312.06,0.176,1,32.31,69.6,0,,,,,,1487328377
0000000693,1,strong,5599.2,4.229,1.194843717075173,1.3856892648777432,18.94,88.85,46.71,4.9,1,3,2.477,0.451,19.7,0.75,190.81,0.115,1,2.238,142.4,0,,,,,,57594337
0000001060,2,mild,5876.6,4.44,1.0027315900160276,0.9987291207890531,22.35,62.22,12.92,1.624,1,1,0.84,0.785,16.3,14.72,227.72,0.162,1,77.99,83.9,1,4.4768,0.18565,2.04215,0.05321,348.65376790265395,20685485
0000000121,0,mild,5760.7,4.415,0.9207325113932215,0.9853398624399703,26.71,19.08,11.45,1.444,1,2,1.515,0.676,16.5,1.62,187.08,0.187,1,50.73,19.2,0,,,,,,1538935651
0000000939,2,mild,5331.0,4.546,0.9043326956686603,0.8396614315936923,26.86,80.76,5.29,2.201,1,3,1.27,0.735,10.1,-1.24,155.74,0.18,1,57.26,27.8,1,8.0827,0.21073,2.31803,0.07622,635.5419268356494,2008078254
0000000148,0,mild,5913.7,4.425,0.9839889434736719,1.006796501977003,30.65,54.77,21.62,2.14,1,2,0.97,0.666,13.0,-10.91,65.84,0.204,1,36.47,21.4,0,,,,,,2014949186
0000000828,2,mild,5348.0,4.491,0.9043326956686603,0.8870393474183039,24.58,73.43,11.95,1.426,1,1,0.66,0.656,16.8,17.71,295.58,0.205,1,34.93,45.2,1,46.6158,0.3224,3.5464,0.24513,1332.9202899631762,77179833
0000001007,2,mild,5564.1,4.246,1.1690725780794338,1.3387984985603738,31.15,39.73,6.88,2.168,1,3,1.513,0.727,19.2,-3.69,188.33,0.152,1,62.07,15.8,1,8.1365,0.22902,2.51922,0.0834,295.2679233129034,568328903
0000001481,3,strong,5923.3,4.434,1.0542738680075054,1.02642175308866,17.81,34.74,44.7,1.617,1,3,2.173,0.553,19.5,5.82,247.96,0.09,1,4.852,103.8,1,4.9424,0.20897,2.29867,0.05779,418.23085769136793,1339537287
0000001409,3,strong,6137.1,4.479,1.0941019919100112,1.0005483949609275,13.7,46.76,65.66,2.407,1,4,2.627,0.459,14.5,0.39,167.03,0.088,1,4.779,162.5,1,5.0197,0.26974,2.9671399999999997,0.05912,733.3552227521607,1937634791
0000000164,0,mild,5495.8,4.27,1.1433014390836949,1.2981457927134306,23.39,50.19,19.56,1.155,1,2,1.895,0.73,11.5,-0.09,178.02,0.173,1,43.51,60.6,0,,,,,,1075022054
0000000128,0,mild,5290.2,4.459,0.9277610038466049,0.9362484402747601,34.83,46.3,29.08,1.659,1,2,1.21,0.692,17.6,4.47,44.12,0.207,1,25.17,15.6,0,,,,,,1157495927
0000001104,2,mild,5812.4,4.213,1.194843717075173,1.4193053413035515,31.14,61.74,5.37,1.709,1,2,0.69,0.72,13.2,9.89,140.48,0.195,1,35.18,29.9,1,49.3247,0.21538,2.36918,0.27931,232.3587080656527,949241426
0000000555,1,strong,5668.9,4.396,0.9019898648510197,0.9945321014319171,12.67,56.53,86.06,3.591,1,4,1.958,0.557,13.6,10.66,164.22,0.1,1,3.539,221.6,0,,,,,,594348192
0000000959,2,mild,6076.2,4.379,1.030845559829561,1.0845806320822977,28.29,68.59,11.92,1.829,1,1,1.61,0.711,11.7,-9.78,230.47,0.139,1,33.4,15.4,1,5.7996,0.13236,1.4559600000000001,0.06382,150.27602872693762,173676926
0000000152,0,mild,5627.6,4.396,0.9254181730288105,1.0103387800037036,27.21,27.21,20.47,1.834,1,1,1.02,0.725,15.2,-6.79,249.86,0.161,1,49.07,16.9,0,,,,,,429853160
0000001105,2,mild,6152.5,4.253,1.1878152246217895,1.350709220379895,34.04,17.51,10.15,1.87,1,2,1.215,0.697,18.3,-16.12,325.35,0.204,1,20.13,52.8,1,7.7666,0.14677,1.61447,0.08128,119.13811971612577,1733205759
0000000441,1,strong,5887.6,4.414,0.9324466654821938,0.9921688952361836,15.69,79.16,118.65,3.42,1,4,2.077,0.554,14.5,8.16,193.74,0.074,1,4.547,207.7,0,,,,,,99470478
0000000948,2,mild,5636.3,4.481,0.9183896805754271,0.9133812424351105,28.7,75.74,17.69,1.324,1,1,1.19,0.795,10.7,-14.77,173.22,0.155,1,29.84,36.1,1,3.5702,0.09427,1.0369700000000002,0.04444,107.48372752179938,1343038486
0000001373,3,strong,6149.5,4.314,1.140958608265676,1.2312142005821924,18.27,59.59,33.33,1.268,1,2,2.135,0.516,18.8,-2.0,181.56,0.076,1,1.925,149.2,1,17.1334,0.10903,1.19933,0.13591,79.1269952969809,611646477
0000000902,2,mild,5811.5,4.322,1.0905877456833197,1.190726852800738,25.42,79.25,11.68,1.19,1,2,1.2,0.678,9.2,12.2,134.05,0.196,1,32.95,21.6,1,47.0935,0.09697,1.06667,0.2627,66.91914412576635,1314124640
0000000951,2,mild,5372.2,4.335,1.0905877456833197,1.179999401656683,32.21,58.26,33.64,1.526,1,1,1.97,0.691,12.6,-19.49,217.32,0.136,1,46.75,18.7,1,10.2123,0.13558,1.4913800000000001,0.09482,133.20715937848416,1734861579
0000001246,3,strong,5624.8,4.315,1.0472453755541222,1.1788147461649119,11.19,60.31,58.75,1.441,1,3,2.057,0.574,9.8,-21.29,171.55,0.072,1,2.549,270.2,1,11.4195,0.33752,3.71272,0.10078,827.1947835993201,1587831278
0000000317,0,mild,6180.5,4.461,1.0847306686388336,1.0111668614501879,32.13,55.13,38.96,1.241,1,3,1.38,0.697,16.1,14.52,129.41,0.196,1,77.25,18.9,0,,,,,,854214709
0000000159,0,mild,6206.0,4.397,1.108158976816778,1.1031289833543958,30.5,73.92,23.77,1.853,1,3,0.873,0.733,14.1,6.22,243.76,0.181,1,39.81,48.1,0,,,,,,75356846
0000000975,2,mild,6122.0,4.238,1.140958608265676,1.3426298846789466,28.4,65.48,21.53,1.332,1,2,1.685,0.727,12.8,-0.36,282.1,0.143,1,51.04,27.0,1,8.0292,0.21435,2.35785,0.082,257.17825108749906,1346024790
0000001063,2,mild,5800.0,4.247,1.1901580554395839,1.3551195014367636,29.22,75.65,5.8,2.134,1,3,1.27,0.698,16.7,-14.22,145.56,0.185,1,57.53,27.0,1,13.3931,0.18946,2.08406,0.11697,197.2330804147896,1527639967
0000001079,2,mild,5730.5,4.264,1.133930115812517,1.3039131138057587,34.92,80.1,10.55,0.911,1,1,0.69,0.79,26.8,7.69,299.75,0.186,1,43.32,34.6,1,4.433,0.25279,2.7806900000000003,0.05507,379.24717605833246,1373563859
0000000463,1,strong,5653.3,4.292,0.9254181730288105,1.1364386218514873,21.93,67.35,64.7,4.453,1,5,2.208,0.515,18.6,19.33,116.83,0.101,1,5.002,167.5,0,,,,,,1924249105
0000000204,0,mild,5489.8,4.503,0.9371323271177827,0.8988711294622787,24.2,31.47,25.1,0.724,1,1,1.3,0.714,17.2,-15.71,97.7,0.249,1,32.83,25.3,0,,,,,,1865533370
0000000264,0,mild,6085.1,4.508,1.0472453755541222,0.9598623585466659,32.22,47.43,27.04,1.426,1,3,1.583,0.698,14.4,7.48,161.07,0.202,1,56.96,26.6,0,,,,,,1114152339
0000000910,2,mild,5464.0,4.283,1.1479871007192837,1.2778006595721783,28.4,33.32,30.91,1.077,1,1,1.33,0.627,12.1,-19.81,229.68,0.192,1,21.46,38.7,1,19.948,0.19386,2.13246,0.15072,232.24698408257095,215600918
0000001023,2,mild,6087.5,4.31,1.0706736837320667,1.1985336302615697,30.83,48.78,22.08,1.167,1,1,1.15,0.753,9.7,-9.79,302.27,0.234,1,24.82,40.4,1,46.491,0.09573,1.05303,0.25886,64.371784800513,491490864
0000000157,0,mild,5586.8,4.202,1.1936723016662756,1.4170809055867684,28.94,89.94,8.66,0.876,1,1,1.05,0.778,11.6,10.26,118.12,0.208,1,62.48,36.4,0,,,,,,1848484549
0000001054,2,mild,5925.6,4.255,1.0027315900160276,1.2354739720224746,30.69,85.19,12.81,1.663,1,3,1.32,0.661,20.4,-3.63,218.67,0.169,1,59.9,60.3,1,4.2858,0.12488,1.37368,0.05168,103.09045616675645,1031126726
0000000872,2,mild,6304.7,4.473,1.0964448227278059,1.0327498913742568,33.0,36.21,10.63,2.183,1,1,1.95,0.624,18.9,8.75,130.93,0.135,1,66.87,58.1,1,20.3877,0.16077,1.76847,0.15061,244.52292924965096,193961487
0000001188,3,strong,6062.0,4.425,1.1058161459989835,1.0666548749025688,16.91,38.17,63.39,2.368,1,2,1.97,0.502,15.4,6.64,313.99,0.132,1,3.88,128.0,1,38.9423,0.15153,1.66683,0.23251,203.6335270438883,1594961517
0000000633,1,strong,6285.9,4.369,1.0636451912786833,1.1164679046496857,21.74,64.25,28.44,2.105,1,3,2.31,0.499,22.7,2.69,253.17,0.112,1,3.23,181.0,0,,,,,,43222245
0000001002,2,mild,6287.8,4.442,1.129244454176928,1.0611042817166476,28.8,73.13,8.19,2.071,1,3,1.007,0.72,13.5,8.19,224.5,0.199,1,76.9,19.5,1,19.8093,0.12286,1.3514599999999999,0.1492,135.2710216729757,676763408
0000000251,0,mild,5484.6,4.313,1.0812164224121417,1.197888962766238,32.91,66.52,8.42,2.429,1,1,0.54,0.666,10.0,-15.49,225.38,0.186,1,67.26,21.7,0,,,,,,275503736
0000001386,3,strong,5783.5,4.543,0.9839889434736719,0.8773680280909079,15.13,49.2,133.58,4.953,1,3,1.71,0.5,14.1,6.0,135.29,0.108,1,1.089,613.2,1,5.9023,0.28713,3.15843,0.06357,1080.6707961863235,1820509663
0000000105,0,mild,5251.8,4.202,1.1936723016662756,1.3863982481318544,30.94,60.37,35.97,2.013,1,2,1.54,0.749,9.9,-7.76,171.05,0.179,1,29.79,17.6,0,,,,,,1866278795
0000000064,0,mild,5562.1,4.516,0.9675891277491107,0.8981935336050195,20.68,15.19,35.01,2.175,1,1,0.59,0.77,6.1,16.63,204.28,0.19,1,34.69,24.1,0,,,,,,436895138
0000000134,0,mild,6399.3,4.203,1.1936723016662756,1.439271378413762,22.42,77.19,20.31,0.62,1,2,1.435,0.752,11.4,-1.68,52.84,0.196,1,28.07,15.1,0,,,,,,596734633
0000001445,3,strong,5873.7,4.501,1.0542738680075054,0.9551297217590484,15.79,81.56,79.53,1.225,1,4,2.393,0.541,11.9,-6.5,242.95,0.106,1,4.146,141.7,1,6.5232,0.09328,1.02608,0.06954,96.23925173135757,1429332731
0000000537,1,strong,6272.5,4.538,1.0964448227278059,1.0290457566398423,20.47,83.38,75.95,1.823,1,5,2.112,0.494,15.2,5.43,130.08,0.095,1,4.725,289.5,0,,,,,,1917534502
0000000738,1,strong,5696.0,4.223,1.194843717075173,1.3992943221597967,14.66,89.6,53.43,1.531,1,3,2.473,0.483,13.0,4.11,214.17,0.108,1,1.808,456.5,0,,,,,,626220206
0000000195,0,mild,5539.8,4.486,0.9090183573042493,0.9042826686720815,30.29,52.95,14.49,1.346,1,3,1.007,0.689,18.3,6.57,206.25,0.183,1,70.6,18.4,0,,,,,,565523409
0000000293,0,mild,5442.0,4.248,1.194843717075173,1.366325865960993,29.39,88.97,9.7,0.767,1,2,1.225,0.692,11.8,10.76,202.19,0.168,1,26.71,33.5,0,,,,,,2090214360
0000000399,1,strong,5738.4,4.255,1.129244454176928,1.3102833526710698,12.13,13.33,61.36,2.319,1,5,2.332,0.487,13.6,-8.29,210.35,0.098,1,2.914,331.9,0,,,,,,871033325
0000000130,0,mild,5979.8,4.295,1.0531024525987964,1.2027326769469389,25.58,64.53,5.5,2.074,1,2,1.405,0.676,9.7,0.95,69.31,0.186,1,57.2,74.5,0,,,,,,758475978
0000001435,3,strong,6195.3,4.427,1.103473315181189,1.0632929792146952,12.86,89.31,95.09,3.483,1,3,1.74,0.49,13.6,5.74,126.75,0.073,1,2.46,1185.0,1,11.4758,0.0917,1.0087000000000002,0.10289,75.0468833395002,211639506
0000000708,1,strong,6346.9,4.262,1.1843009783950977,1.3331012720708642,8.78,55.3,42.51,1.627,1,4,2.218,0.542,8.6,3.62,246.7,0.091,1,3.882,636.9,0,,,,,,986547195
0000000147,0,mild,6303.0,4.305,1.1597012548082561,1.254279145851236,21.72,81.97,15.9,1.191,1,3,1.0,0.738,9.3,-4.33,91.2,0.178,1,25.98,42.7,0,,,,,,1734810111
0000001153,3,strong,5545.7,4.209,1.1936723016662756,1.4102318778856704,14.19,66.35,94.71,4.675,1,3,1.703,0.482,15.7,25.78,205.73,0.092,1,2.81,152.0,1,10.6564,0.09279,1.0206899999999999,0.10053,43.683877091368984,1125063592
0000000966,2,mild,5779.8,4.242,1.1761010705328172,1.3577617379397946,28.24,61.83,33.64,0.508,1,3,1.267,0.638,18.6,-0.1,210.04,0.215,1,56.22,92.9,1,27.6588,0.16982,1.86802,0.18893,157.84485237819266,152147278
0000001349,3,strong,5572.5,4.213,1.1936723016662756,1.413261840410218,10.8,32.11,131.71,4.16,1,3,2.107,0.431,10.0,0.12,193.68,0.088,1,5.602,352.8,1,14.0377,0.1835,2.0185,0.12081,170.10878942730653,1715536316
0000000860,2,mild,6052.8,4.338,1.0905877456833197,1.1712147227451914,28.02,56.41,5.57,2.052,1,3,0.997,0.674,10.9,-0.22,262.44,0.17,1,62.64,53.1,1,16.0076,0.24391,2.68301,0.12795,437.60880173028113,1075404697
0000001247,3,strong,5659.5,4.429,0.9301038346643994,0.9776502735703546,8.29,61.03,25.96,2.274,1,5,2.606,0.549,8.2,9.86,99.3,0.082,1,2.934,190.7,1,13.5843,0.15151,1.6666100000000001,0.10876,242.33460006304708,249645367
0000000587,1,strong,6307.8,4.371,1.1714154088972284,1.16436757261421,9.39,77.19,98.64,1.042,1,5,2.352,0.497,9.1,-15.67,238.98,0.093,1,3.003,160.3,0,,,,,,945948869
0000001238,3,strong,5807.8,4.54,0.9968745129715414,0.8905506017652866,9.13,39.03,53.19,2.112,1,2,2.63,0.499,10.4,-19.87,161.06,0.082,1,1.089,158.4,1,37.5902,0.11822,1.3004200000000001,0.21938,177.81344219149008,1849279681
